first_name,last_name,urls
Kirk,Koenigsbauer,"['http://www.foxbusiness.com/features/2017/07/10/with-new-software-bundle-microsoft-furthers-nadellas-one-push.html', 'http://windowsitpro.com/business-resources/microsoft-inspire-news-summary-day-1-keynote', 'https://www.onmsft.com/news/microsoft-365-introduced-today-at-inspire-brings-together-office-365-windows-10-and-enterprise-mobility-security', 'https://www.ghacks.net/2017/07/10/microsoft-365-windows-and-office-subscription-bundle/']"
Phillip,Frost,['https://weeklyregister.com/phillip-frost-acquires-23700-worth-of-opko-health-inc-nasdaqopk-stock/']
David,Pulver,['https://transcriptdaily.com/2017/07/09/renaissance-technologies-llc-takes-position-in-carters-inc-cri-updated.html']
Rick,McVey,['https://www.ft.com/content/07d42d04-6e37-11e7-bfeb-33fe0c5b7eaa']
Ted,Mocarski,['http://www.finsmes.com/2017/07/novacap-closes-fifth-private-equity-fund-at-840m.html']
Amy,Walter,['http://www.pbs.org/newshour/bb/democrats-recrafting-message-will-find-right-messengers/']
David,Pulver,['https://transcriptdaily.com/2017/07/22/public-employees-retirement-system-of-ohio-buys-190-shares-of-carters-inc-cri-updated-updated-updated.html']
Bob,Diamond,['http://www.thisismoney.co.uk/money/comment/article-4730026/CITY-DIARY-Bob-Diamond-declares-love-rapper-Jay-Z.html']
Paul,Spillane,['http://www.nzherald.co.nz/business/news/article.cfm%3Fc_id%3D3%26objectid%3D11894303']
Peter,Hart,['http://www.southernstar.ie/news/roundup/articles/2017/07/24/4143362-opinion-no-punches-pulled-in-critique-of-revisionist/']
Rick,McVey,['https://www.bloombergquint.com/onweb/2017/07/24/the-8-6-trillion-market-where-a-1-gain-may-foretell-the-future']
William,Rouhana,['https://finance.yahoo.com/news/stocks-rangebound-ahead-big-earnings-184952783.html']
Jeffrey,Rothschild,['https://www.philanthropy.com/article/Gifts-Roundup-50-Million/240724']
Phillip,Frost,['http://finnewsdaily.com/the-insider-phillip-frost-invested-in-5400-shares-of-opko-health-inc-nasdaqopk/']
David,Pulver,['https://www.baseball-news-blog.com/2017/07/22/carters-inc-nysecri-given-average-rating-of-hold-by-brokerages-updated-updated.html']
Bernard,Osher,['https://www.mprnews.org/story/2017/07/24/senator-al-franken-at-commonwealth-club']
Amy,Walter,"['http://www.pbs.org/newshour/bb/great-struggle-getting-anything-done-partisanship-reigns/', 'http://www.cbsnews.com/news/sunday-schiff-collins-and-barrasso/', 'http://www.orlandosentinel.com/entertainment/tv/tv-guy/os-et-anthony-scaramucci-susan-collins-rand-paul-20170721-story.html']"
Ted,Mocarski,['https://www.pehub.com/2017/07/novacap-wraps-up-fifth-fund-at-840-mln/']
Tucker,Kelton,['http://charlestownbridge.com/2017/07/20/national-development-is-undertaking-major-renovation-rebranding-at-constitution-center/']
David,Pulver,['https://sportsperspectives.com/2017/07/21/aqr-capital-management-llc-has-22-47-million-stake-in-carters-inc-nysecri-updated-updated.html']
Jeffrey,Rothschild,['http://scopeblog.stanford.edu/2017/07/20/new-center-to-advance-cancer-cell-therapy/']
Bernard,Osher,['http://www.broadwayworld.com/san-francisco/article/ACTs-Young-Conservatory-to-present-HOMEFRONT-20170720']
Robert,Hoopes,['http://freepressonline.com/Content/Home/Homepage-Rotator/Article/Eye-on-Augusta-Money-Flows-into-Gubernatorial-Campaign-Coffers/78/720/53573']
Tom,Whidden,['http://www.sailingscuttlebutt.com/2017/07/19/real-raceboats-bummer/']
David,Pulver,['https://www.baseball-news-blog.com/2017/07/19/brokerages-expect-carters-inc-nysecri-will-announce-earnings-of-0-71-per-share.html']
Jeffrey,Rothschild,['https://www.crunchbase.com/person/jeffrey-rothschild']
Bernard,Osher,['http://www.dentonrc.com/entertainment/denton-time/2017/07/19/institute-taps-seniors-lifelong-learning']
Andrew,Davis,"['http://autoweek.com/article/imsa/stevenson-motorsports-hopes-double-its-imsa-fun-lime-rock', 'https://bangordailynews.com/2017/07/20/arts-culture/hidden-inside-a-175-year-old-maine-church-is-a-sublime-work-of-modern-art/%3Fref%3DmoreInliving', 'http://wsav.com/2017/07/18/update-beaufort-schools-respond-to-credit-card-questions/', 'http://www.windycitymediagroup.com/lgbt/DISH-SAVOR-Francescas-on-Chestnut-Chez-Moi/59869.html']"
Barbro,Osher,['http://www.sfchronicle.com/entertainment/article/Kids-11300092.php']
Bill,Ryan,"['http://www.carrollcountytimes.com/sports/ph-cc-sp-county-swim-meet-072017-20170719-story.html', 'http://billingsgazette.com/sports/billings-golfer-competing-in-th-consecutive-montana-state-women-s/article_2a45b50c-9d7a-5568-bd92-df9e5b75859c.html', 'http://www.sent-trib.com/news/front_page/owens-theater-professor-leads-chautauqua-training-at-college/article_14c7af15-bdba-527e-8334-bceda840e435.html', 'http://dailycampus.com/stories/2017/7/18/mansfield-democrats-hold-caucus-to-nominate-town-election-candidates']"
John,Devine,['http://www.caller.com/story/news/local/texas/state-bureau/2017/07/19/open-government-advocates-now-focusing-2019/486896001/']
Michael,Gordon,"['http://www.charlotteobserver.com/news/local/article162343663.html', 'http://www.charlotteobserver.com/news/local/crime/article162408028.html', 'http://www.jamaicaobserver.com/news/beware-the-gonorrhoea-8216-superbug-8217-doctors-urge-jamaicans-to-learn-about-antibiotic-resistance_105253%3Fprofile%3D1373', 'https://www.nrl.com/roosters-v-knights-schick-preview/tabid/10874/newsid/110111/default.aspx']"
David,Pulver,['https://www.baseball-news-blog.com/2017/07/19/carters-nysecri-receives-daily-news-impact-score-of-0-08-updated.html']
Bob,Diamond,"['https://www.nytimes.com/reuters/2017/07/27/business/27reuters-hartford-fin-ser-m-a-atlas-exclusive.html', 'http://westchester.news12.com/story/35984587/after-scandal-uk-based-libor-financial-benchmark-nears-end', 'https://www.ft.com/content/aef13546-72dd-11e7-aca6-c6bd07df1a3c', 'http://www.arkansasonline.com/news/2017/jul/28/business-news-in-brief-20170728/%3Ff%3Dbusiness']"
Rick,McVey,['https://seekingalpha.com/article/4090862-marketaxess-mktx-ceo-rick-mcvey-q2-2017-results-earnings-call-transcript']
Phillip,Frost,"['https://weeklyregister.com/what-after-phillip-frosts-insider-buy-of-opko-health-inc-nasdaqopk-stock/', 'https://marketexclusive.com/non-invasive-monitoring-systems-inc-otcmktsnimu-files-an-8-k-entry-into-a-material-definitive-agreement/2017/07/']"
Richard,McVey,['https://www.fnlondon.com/articles/marketaxess-enjoys-second-best-quarter-for-revenues-and-trading-20170726']
Peter,Hart,['https://trofire.com/2017/07/26/tale-two-populisms-trump-brand-vs-economic-populism-majority-report-sam-seder/']
Amy,Walter,['https://www.realclearpolitics.com/video/2017/07/30/face_the_nation_panel_is_health_care_reform_dead.html']
Pete,Rouse,['http://expressnewsline.com/2017/07/29/trump-fires-priebus-hires-general-to-manage-staff.html']
